
GET,/posts,200,success
GET,/posts,200,success
GET,/posts,200,success
GET,/posts,200,success
PUT,/posts/1,200,success
PUT,/posts/1,200,success
PUT,/posts/1,200,success
PUT,/posts/1,200,success
DELETE,/posts/1,200,success
DELETE,/posts/1,200,success
GET,/posts/1,200,success
POST,/posts,201,success
POST,/posts,201,success
POST,/posts,201,success
POST,/posts,201,success
POST,/posts,201,success
GET,/posts/9999,404,success
DELETE,/posts/9999,200,success
PATCH,/posts/1,200,success
GET,/posts,200,success
GET,/posts,200,success
GET,/posts,200,success
GET,/posts,200,success
GET,/posts,200,success
PUT,/posts/1,200,success
PUT,/posts/1,200,success
PUT,/posts/1,200,success
PUT,/posts/1,200,success
DELETE,/posts/1,200,success
DELETE,/posts/1,200,success
GET,/posts/1,200,success
POST,/posts,201,success
POST,/posts,201,success
POST,/posts,201,success
POST,/posts,201,success
POST,/posts,201,success
GET,/posts/9999,404,success
DELETE,/posts/9999,200,success
PATCH,/posts/1,200,success
GET,/posts,200,success
GET,/posts,200,success
GET,/posts,200,success
GET,/posts,200,success
GET,/posts,200,success
PUT,/posts/1,200,success
PUT,/posts/1,200,success
PUT,/posts/1,200,success
PUT,/posts/1,200,success
DELETE,/posts/1,200,success
DELETE,/posts/1,200,success
GET,/posts/1,200,success
POST,/posts,201,success
POST,/posts,201,success
POST,/posts,201,success
POST,/posts,201,success
POST,/posts,201,success
GET,/posts/9999,404,success
DELETE,/posts/9999,200,success
PATCH,/posts/1,200,success
GET,/posts,200,success
